"X","title","parent_asin","categories","cat1","cat2","cat3","cat4","cat5","cat6"
0,"**The Sleep Serenity Weighted Blanket** for ** Weighted Blanket with features: ","B01000000","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
1,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000001","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
2," for **  The **Clean & Green All-Purpose Cleaner** with features: ","B01000002","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
3,"**The ZenBreathe Essential Oil Diffuser** for ** Ultrasonic Essential Oil Diffuser with features: ","B01000003","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
4,"The Aromatherapy Sleep Pillow for ** Pillow with features: ","B01000004","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
5,"""Breathe Easy"" Air Purifier for ** Air Purifier with features: ","B01000005","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
6,"##  The Sleep Sanctuary - Weighted Blanket for ** Weighted Blanket with features: ","B01000006","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
7,"**The Zen-Bath Himalayan Salt Soak** for **  Bath Soak with features: ","B01000007","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
8,"The ""Sleep Serenity"" Weighted Blanket for ** Weighted Blanket with features: ","B01000008","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
9," for ** **The Smart Air Purifier Pro** with features: ","B01000009","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
10," for **  **Serenity Sleep Pillow** with features: ","B01000010","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
11,"The Sleep Serenity Aromatherapy Diffuser for ** Essential Oil Diffuser with features: ","B01000011","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
12,"**The Sleep Serenity Essential Oil Diffuser** for **  Essential Oil Diffuser with features: ","B01000012","['Health & Household', 'Personal Care', 'Skincare', 'Sensitive Skin Care', 'Rosacea Routines']","Health & Household","Personal Care","Skincare","Sensitive Skin Care","Rosacea Routines",""
